ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,Original Category,Original Family,Original Type,Assembly Code,Assembly Description,Depth,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Room Id,Room Number,Room Name,Room Level,Room Area (SF),Room Volume (CF),Room Location X (ft),Room Location Y (ft),Room Location Z (ft)
1082486,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1.0,0.294,,,4.0,4.0,Point,2.048,159.012,24.0,,,,,,,0.0,0.948,157.912,24.0,3.148,160.112,24.333,2.048,159.012,24.167,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1082649,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1.0,0.294,,,4.0,4.0,Point,2.055,152.874,24.0,,,,,,,0.0,0.955,151.774,24.0,3.155,153.974,24.333,2.055,152.874,24.167,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1082712,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1.0,0.294,,,4.0,4.0,Point,2.048,165.083,24.0,,,,,,,0.0,0.948,163.983,24.0,3.148,166.183,24.333,2.048,165.083,24.167,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1082897,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1.0,0.294,,,4.0,4.0,Point,2.048,171.646,24.0,,,,,,,0.0,0.948,170.546,24.0,3.148,172.746,24.333,2.048,171.646,24.167,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1083126,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,30 m³/h,30 m³/h,0.06 in-wg,,,,,,,,1.0,0.294,,,4.0,4.0,Point,20.18,156.58,24.0,,,,,,,0.0,19.08,155.48,24.0,21.28,157.68,24.333,20.18,156.58,24.167,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=30 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1084400,Air Terminals,Supply Diffuser,8x8 Connection 4,L 1,,Mechanical Supply Air 4,Supply Air,,,"4""x4""",,"4""","4""",,1 SF,0.09 CF,,,,,,20 m³/h,20 m³/h,0.06 in-wg,,,,,,,,1.0,0.196,,,4.0,4.0,Point,22.895,179.146,24.5,,,,,,,0.0,21.795,178.046,24.5,23.995,180.246,24.833,22.895,179.146,24.667,,"Area=1 SF | Diffuser Height=0' - 8"" | Diffuser Width=0' - 8"" | Duct Height=4"" | Duct Width=4"" | Flow=20 m³/h | Pressure Drop=0.06 in-wg | Size=4""x4"" | Volume=0.09 CF | Width 1=0' - 5 3/16""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1085785,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"9""x10""",,"9""","10""","20' - 2 13/16""",64 SF,,,,,"0""","0""",420 m³/h,420 m³/h,0.01 in-wg,,,,,,,,2.0,8.24,,,9.0,10.0,Curve,-0.071,142.549,25.708,-0.071,152.666,25.708,-0.071,132.432,25.708,,-0.446,132.432,25.292,0.304,152.666,26.125,-0.071,142.549,25.708,,"Additional Flow=0 m³/h | Area=64 SF | Flow=420 m³/h | Free Size=9""x10"" | Height=10"" | Hydraulic Diameter=9"" | Insulation Thickness=0"" | Length=20' - 2 13/16"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 3 1/2"" | Lower End Top of Insulation Elevation=11' - 1 1/2"" | Overall Size=9""x10"" | Pressure Drop=0.01 in-wg | Size=9""x10"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 3 1/2"" | Upper End Top of Insulation Elevation=11' - 1 1/2"" | Velocity Pressure=0.01 in-wg | Width=9""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087051,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"11""x12""-11""x12""-5""x12""",,,"12""","11""x12""-11""x12""-4 1/2""x12""",,0.53 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,10.398,,,11.0,12.0,Point,-0.071,154.552,25.708,,,,,,,90.0,-0.529,154.281,25.208,0.471,154.822,26.208,-0.029,154.552,25.708,,"Duct Height=12"" | Duct Length 1=3"" | Duct Length 3=7"" | Duct Width 1=11"" | Duct Width 3=5"" | Free Size=11""x12""-11""x12""-4 1/2""x12"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=6"" | Lining Thickness=0"" | Overall Size=11""x12""-11""x12""-4 1/2""x12"" | Size=11""x12""-11""x12""-5""x12"" | Volume=0.53 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087052,Ducts,,Mitered Elbows / Tees,L 1,,Mechanical Supply Air 4,Supply Air,,,"11""x12""",,"11""","12""","3' - 10 9/16""",15 SF,,,,,"0""","0""",530 m³/h,530 m³/h,0.00 in-wg,,,,,,,,2.0,10.398,,,11.0,12.0,Curve,-0.071,156.763,25.708,-0.071,158.703,25.708,-0.071,154.822,25.708,,-0.529,154.822,25.208,0.388,158.703,26.208,-0.071,156.763,25.708,,"Additional Flow=0 m³/h | Area=15 SF | Flow=530 m³/h | Free Size=11""x12"" | Height=12"" | Hydraulic Diameter=11"" | Insulation Thickness=0"" | Length=3' - 10 9/16"" | Lining Thickness=0"" | Lower End Bottom of Insulation Elevation=10' - 2 1/2"" | Lower End Top of Insulation Elevation=11' - 2 1/2"" | Overall Size=11""x12"" | Pressure Drop=0.00 in-wg | Size=11""x12"" | Size Lock=False | Upper End Bottom of Insulation Elevation=10' - 2 1/2"" | Upper End Top of Insulation Elevation=11' - 2 1/2"" | Velocity Pressure=0.01 in-wg | Width=11""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
1087152,Duct Fittings,Rectangular Tee,Standard,L 1,,Mechanical Supply Air 4,Supply Air,,,"5""x5""-5""x5""-3""x5""",,,"5""","4 1/2""x4 1/2""-4 1/2""x4 1/2""-3""x4 1/2""",,0.07 CF,,,,"0""","0""",,,8baf7d75-8b9b-46d0-b8ce-3ad1c19e6b19,,,,,,,,3.0,1.57,,,4.5,4.5,Point,20.215,154.552,24.7,,,,,,,180.0,20.007,154.364,24.513,20.423,154.822,24.888,20.215,154.593,24.7,,"Duct Height=5"" | Duct Length 1=3"" | Duct Length 3=3"" | Duct Width 1=5"" | Duct Width 3=3"" | Free Size=4 1/2""x4 1/2""-4 1/2""x4 1/2""-3""x4 1/2"" | Insulation Thickness=0"" | Length1a=2"" | Length3a=2"" | Lining Thickness=0"" | Overall Size=4 1/2""x4 1/2""-4 1/2""x4 1/2""-3""x4 1/2"" | Size=5""x5""-5""x5""-3""x5"" | Volume=0.07 CF",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Current\01_Island_MEP_Concept2_MEP_TakeOff.csv,,,,,,,,,,,,,,,,,,,,
